lote_id,t_utc,t_local,bt_min_k,bt_mean_k,n_pix,btd_wv_ir_max,btd_split_min,f235,f225,f215,f205,enfriamiento_k_10min,score_escena
punto,2026-07-31T17:00:21.600000+00:00,2026-07-31T14:00:21.600000-03:00,282.9521477371454,288.4117314378303,243,-49.54421432316303,1.0944695249199867,0,0,0,0,,0.0
punto,2026-07-31T17:10:21.300000+00:00,2026-07-31T14:10:21.300000-03:00,287.4382401034236,288.3756656545379,243,-51.168833911418915,1.2135911658406258,0,0,0,0,,0.0
punto,2026-07-31T17:20:21.300000+00:00,2026-07-31T14:20:21.300000-03:00,280.3096549734473,288.0121056997693,243,-47.577719293534756,1.211698666214943,0,0,0,0,,0.0
punto,2026-07-31T17:30:21.300000+00:00,2026-07-31T14:30:21.300000-03:00,278.40460205078125,287.42087216173707,243,-46.17966467142105,1.1369978487491608,0,0,0,0,,0.0
punto,2026-07-31T17:40:21.300000+00:00,2026-07-31T14:40:21.300000-03:00,265.49940483272076,284.02443869169196,243,-34.1617144793272,1.7363910526037216,0,0,0,0,,0.0
punto,2026-07-31T17:50:21.300000+00:00,2026-07-31T14:50:21.300000-03:00,267.1586444750428,281.8646054260164,243,-35.56745497137308,1.6386627331376076,0,0,0,0,,0.0
punto,2026-07-31T18:00:21.300000+00:00,2026-07-31T15:00:21.300000-03:00,260.8904058262706,273.74855123113883,243,-29.08796703070402,2.3186459243297577,0,0,0,0,,0.0
punto,2026-07-31T18:10:21.300000+00:00,2026-07-31T15:10:21.300000-03:00,256.4043134599924,268.34114830136457,243,-25.44687183201313,2.702400006353855,0,0,0,0,,0.0
punto,2026-07-31T18:20:21.300000+00:00,2026-07-31T15:20:21.300000-03:00,251.54950117319822,274.75507300731323,243,-21.18355756253004,2.0209476575255394,0,0,0,0,,0.0
punto,2026-07-31T18:30:21.300000+00:00,2026-07-31T15:30:21.300000-03:00,266.2982979938388,283.1841555538238,243,-34.664858631789684,1.6503352373838425,0,0,0,0,,0.0
punto,2026-07-31T18:40:21.300000+00:00,2026-07-31T15:40:21.300000-03:00,254.99088709801435,284.4711392118559,243,-24.37144433706999,1.5869894176721573,0,0,0,0,,0.0
punto,2026-07-31T18:50:21.300000+00:00,2026-07-31T15:50:21.300000-03:00,251.91822109371424,281.97950280709136,243,-21.17202875763178,1.5312135964632034,0,0,0,0,,0.0
punto,2026-07-31T19:00:21.300000+00:00,2026-07-31T16:00:21.300000-03:00,264.5161517113447,279.6255799506631,243,-33.093961641192436,1.7362852171063423,0,0,0,0,,0.0
punto,2026-07-31T19:10:21.300000+00:00,2026-07-31T16:10:21.300000-03:00,256.8344867005944,276.3952392663426,243,-26.00379464775324,1.2011311650276184,0,0,0,0,,0.0
punto,2026-07-31T19:20:21.300000+00:00,2026-07-31T16:20:21.300000-03:00,247.92375528812408,274.7397159937421,243,-17.703764714300632,1.686186894774437,0,0,0,0,,0.0
punto,2026-07-31T19:30:21.300000+00:00,2026-07-31T16:30:21.300000-03:00,254.25344725698233,271.51799209620185,243,-22.620007894933224,1.5488219186663628,0,0,0,0,,0.0
punto,2026-07-31T19:40:21.300000+00:00,2026-07-31T16:40:21.300000-03:00,252.10258105397224,271.25669662172436,243,-21.82113716006279,1.3193594738841057,0,0,0,0,,0.0
punto,2026-07-31T19:50:21.300000+00:00,2026-07-31T16:50:21.300000-03:00,256.7730333805084,275.33790222098776,243,-25.055094301700592,1.4214486181735992,0,0,0,0,,0.0
punto,2026-07-31T20:00:21.300000+00:00,2026-07-31T17:00:21.300000-03:00,249.82880821079016,271.45554651918155,243,-19.20936544984579,1.5385719239711761,0,0,0,0,,0.0
punto,2026-07-31T20:10:21.300000+00:00,2026-07-31T17:10:21.300000-03:00,245.52707580477,273.66848390597056,243,-15.245631910860538,1.5925610810518265,0,0,0,0,,0.0
punto,2026-07-31T20:20:21.300000+00:00,2026-07-31T17:20:21.300000-03:00,253.7618206962943,274.05986035981965,243,-21.621383033692837,1.208806999027729,0,0,0,0,,0.0
punto,2026-07-31T20:30:21.300000+00:00,2026-07-31T17:30:21.300000-03:00,245.772889085114,273.3009078371982,243,-16.420942075550556,1.2994353100657463,0,0,0,0,,0.0
punto,2026-07-31T20:40:21.300000+00:00,2026-07-31T17:40:21.300000-03:00,248.2924752086401,271.39892815475923,243,-18.306780323386192,0.6990429386496544,0,0,0,0,,0.0
punto,2026-07-31T20:50:21.300000+00:00,2026-07-31T17:50:21.300000-03:00,256.1585001796484,275.3771790579705,243,-25.20105855166912,0.8796178996562958,0,0,0,0,,0.0
punto,2026-07-31T21:00:21.300000+00:00,2026-07-31T18:00:21.300000-03:00,261.8736589476466,277.9477067796848,243,-30.240219585597515,0.384100504219532,0,0,0,0,,0.0
punto,2026-07-31T21:10:21.300000+00:00,2026-07-31T18:10:21.300000-03:00,259.2926195040345,278.18129600585206,243,-28.54642716795206,0.6972562745213509,0,0,0,0,,0.0
punto,2026-07-31T21:20:21.300000+00:00,2026-07-31T18:20:21.300000-03:00,257.57192654162645,276.96199943022003,243,-26.825734205543995,0.7444629296660423,0,0,0,0,,0.0
punto,2026-07-31T21:30:21.300000+00:00,2026-07-31T18:30:21.300000-03:00,247.92375528812408,272.52492042209235,243,-18.867557287216187,0.9174678921699524,0,0,0,0,,0.0
punto,2026-07-31T21:40:21.300000+00:00,2026-07-31T18:40:21.300000-03:00,253.5160074159503,273.2685825409831,243,-23.065564088523388,1.1604953408241272,0,0,0,0,,0.0
punto,2026-07-31T21:50:21.300000+00:00,2026-07-31T18:50:21.300000-03:00,248.90700840950012,275.8146805294726,243,-19.301562249660492,1.0574070289731026,0,0,0,0,,0.0
punto,2026-07-31T22:00:21.300000+00:00,2026-07-31T19:00:21.300000-03:00,251.3036878928542,270.9112775124815,243,-21.698241733014584,0.9599962159991264,0,0,0,0,,0.0
punto,2026-07-31T22:10:21.300000+00:00,2026-07-31T19:10:21.300000-03:00,257.51047322154045,279.4439073529356,243,-26.553031593561172,1.2059153318405151,0,0,0,0,,0.0
punto,2026-07-31T22:20:21.300000+00:00,2026-07-31T19:20:21.300000-03:00,258.3093663826585,278.9744549784598,243,-27.267425037920475,0.7444629296660423,0,0,0,0,,0.0
punto,2026-07-31T22:30:21.300000+00:00,2026-07-31T19:30:21.300000-03:00,269.9240438789129,283.29292253268204,243,-36.17811159789562,0.8702612370252609,0,0,0,0,,0.0
punto,2026-07-31T22:40:21.300000+00:00,2026-07-31T19:40:21.300000-03:00,276.8682690486312,286.1130706316585,243,-42.61533846706152,0.8513362407684326,0,0,0,0,,0.0
punto,2026-07-31T22:50:21.300000+00:00,2026-07-31T19:50:21.300000-03:00,276.06937588751316,284.722074559245,243,-41.52069629728794,1.120858684182167,0,0,0,0,,0.0
punto,2026-07-31T23:00:21.300000+00:00,2026-07-31T20:00:21.300000-03:00,274.4715895652771,285.18956768565374,243,-40.42990827560425,1.0991478562355042,0,0,0,0,,0.0
punto,2026-07-31T23:10:21.300000+00:00,2026-07-31T20:10:21.300000-03:00,275.27048272639513,284.38739456411406,243,-41.10205186158419,1.0641895309090614,0,0,0,0,,0.0
punto,2026-07-31T23:20:21.300000+00:00,2026-07-31T20:20:21.300000-03:00,272.259270042181,284.06046313094544,243,-38.344338327646255,0.8428729102015495,0,0,0,0,,0.0
punto,2026-07-31T23:30:21.300000+00:00,2026-07-31T20:30:21.300000-03:00,275.1475760862231,282.1284401135514,243,-37.430157117545605,0.4768329858779907,0,0,0,0,,0.0
punto,2026-07-31T23:40:21.400000+00:00,2026-07-31T20:40:21.400000-03:00,224.26422705501318,274.38333956573746,243,-5.6859715059399605,0.2884763553738594,0.028461969725285002,0.0001495047654643992,0,0,-50.87486988622891,28.1
punto,2026-07-31T23:50:21.400000+00:00,2026-07-31T20:50:21.400000-03:00,216.39820208400488,265.48847507665164,243,-2.5634370520710945,-0.1078435629606247,0.07878901139973837,0.04761726780041115,0,0,-7.866024971008301,43.6
punto,2026-08-01T00:00:21.400000+00:00,2026-07-31T21:00:21.400000-03:00,208.22491051256657,253.99357126117485,243,-0.35885946452617645,0.07562306523323059,0.23917024855167268,0.16288544197346294,0.06972528499345919,0,-8.173291571438313,64.1
punto,2026-08-01T00:10:21.400000+00:00,2026-07-31T21:10:21.400000-03:00,213.44844271987677,246.28749259543704,243,-1.3536301776766777,-0.2831643670797348,0.30164455242010846,0.16251168005980196,0.023098486264249683,0,5.2235322073102,39.2
punto,2026-08-01T00:20:21.400000+00:00,2026-07-31T21:20:21.400000-03:00,215.47640228271484,256.73851455333926,243,-2.5672912001609802,-0.20578355342149734,0.20341992150999819,0.052326667912539725,0,0,2.0279595628380775,32.2
punto,2026-08-01T00:30:21.400000+00:00,2026-07-31T21:30:21.400000-03:00,240.97953011840582,277.7613898682508,243,-8.881342314183712,-0.2945193648338318,0,0,0,0,,0.0
punto,2026-08-01T00:40:21.400000+00:00,2026-07-31T21:40:21.400000-03:00,280.1252950131893,285.4446799294201,243,-41.140380293130875,0.8845079019665718,0,0,0,0,,0.0
punto,2026-08-01T00:50:21.400000+00:00,2026-07-31T21:50:21.400000-03:00,282.5834278166294,285.4141416144434,243,-42.66901621222496,1.1614945083856583,0,0,0,0,,0.0
punto,2026-08-01T01:00:21.400000+00:00,2026-07-31T22:00:21.400000-03:00,253.2087408155203,278.5102487031461,243,-24.4905416816473,0.03987724334001541,0,0,0,0,,0.0
